"event","host_city","year","host_country","event_url","section","artist","song","artist_url","artist_country","running_order","total_points","rank","qualified","winner"
"Turin 2022","Turin","2022","Italy","https://eurovision.tv/event/turin-2022","first-semi-final","Ronela Hajati","Sekret","https://eurovision.tv/participant/ronela-hajati-22","Albania","1","58","12","FALSE","FALSE"
"Turin 2022","Turin","2022","Italy","https://eurovision.tv/event/turin-2022","grand-final","Rosa Linn","Snap","https://eurovision.tv/participant/rosa-linn-22","Armenia","8","61","20","FALSE","FALSE"
"Turin 2022","Turin","2022","Italy","https://eurovision.tv/event/turin-2022","first-semi-final","Rosa Linn","Snap","https://eurovision.tv/participant/rosa-linn-22","Armenia","17","187","5","TRUE","FALSE"
"Turin 2022","Turin","2022","Italy","https://eurovision.tv/event/turin-2022","grand-final","Sheldon Riley","Not The Same","https://eurovision.tv/participant/sheldon-riley-22","Australia","21","125","15","FALSE","FALSE"
"Turin 2022","Turin","2022","Italy","https://eurovision.tv/event/turin-2022","second-semi-final","Sheldon Riley","Not The Same","https://eurovision.tv/participant/sheldon-riley-22","Australia","8","243","2","TRUE","FALSE"
"Turin 2022","Turin","2022","Italy","https://eurovision.tv/event/turin-2022","first-semi-final","LUM!X feat. Pia Maria","Halo","https://eurovision.tv/participant/lumix-and-pia-maria-22","Austria","13","42","15","FALSE","FALSE"
"Turin 2022","Turin","2022","Italy","https://eurovision.tv/event/turin-2022","second-semi-final","Nadir Rustamli","Fade To Black","https://eurovision.tv/participant/nadir-rustamli-22","Azerbaijan","4","96","10","TRUE","FALSE"
"Turin 2022","Turin","2022","Italy","https://eurovision.tv/event/turin-2022","grand-final","Nadir Rustamli","Fade To Black","https://eurovision.tv/participant/nadir-rustamli-22","Azerbaijan","15","106","16","FALSE","FALSE"
"Turin 2022","Turin","2022","Italy","https://eurovision.tv/event/turin-2022","grand-final","Jeremie Makiese","Miss You","https://eurovision.tv/participant/jeremie-makiese-22","Belgium","16","64","19","FALSE","FALSE"
"Turin 2022","Turin","2022","Italy","https://eurovision.tv/event/turin-2022","second-semi-final","Jeremie Makiese","Miss You","https://eurovision.tv/participant/jeremie-makiese-22","Belgium","16","151","8","TRUE","FALSE"
"Turin 2022","Turin","2022","Italy","https://eurovision.tv/event/turin-2022","first-semi-final","Intelligent Music Project","Intention","https://eurovision.tv/participant/intelligent-music-project-22","Bulgaria","7","29","16","FALSE","FALSE"
"Turin 2022","Turin","2022","Italy","https://eurovision.tv/event/turin-2022","first-semi-final","Mia DimÅ¡iÄ‡","Guilty Pleasure","https://eurovision.tv/participant/mia-dimsic-22","Croatia","11","75","11","FALSE","FALSE"
"Turin 2022","Turin","2022","Italy","https://eurovision.tv/event/turin-2022","second-semi-final","Andromache","Ela","https://eurovision.tv/participant/andromache-22","Cyprus","9","63","12","FALSE","FALSE"
"Turin 2022","Turin","2022","Italy","https://eurovision.tv/event/turin-2022","grand-final","We Are Domi","Lights Off","https://eurovision.tv/participant/we-are-domi-22","Czech Republic","1","38","22","FALSE","FALSE"
"Turin 2022","Turin","2022","Italy","https://eurovision.tv/event/turin-2022","second-semi-final","We Are Domi","Lights Off","https://eurovision.tv/participant/we-are-domi-22","Czech Republic","18","227","4","TRUE","FALSE"
"Turin 2022","Turin","2022","Italy","https://eurovision.tv/event/turin-2022","first-semi-final","REDDI","The Show","https://eurovision.tv/participant/reddi-22","Denmark","12","55","13","FALSE","FALSE"
"Turin 2022","Turin","2022","Italy","https://eurovision.tv/event/turin-2022","grand-final","Stefan","Hope","https://eurovision.tv/participant/stefan-22","Estonia","25","141","13","FALSE","FALSE"
"Turin 2022","Turin","2022","Italy","https://eurovision.tv/event/turin-2022","second-semi-final","Stefan","Hope","https://eurovision.tv/participant/stefan-22","Estonia","12","209","5","TRUE","FALSE"
"Turin 2022","Turin","2022","Italy","https://eurovision.tv/event/turin-2022","grand-final","The Rasmus","Jezebel","https://eurovision.tv/participant/the-rasmus-22","Finland","4","38","21","FALSE","FALSE"
"Turin 2022","Turin","2022","Italy","https://eurovision.tv/event/turin-2022","second-semi-final","The Rasmus","Jezebel","https://eurovision.tv/participant/the-rasmus-22","Finland","1","162","7","TRUE","FALSE"
"Turin 2022","Turin","2022","Italy","https://eurovision.tv/event/turin-2022","grand-final","Alvan & Ahez","Fulenn","https://eurovision.tv/participant/alvan-and-ahez-22","France","6","17","24","FALSE","FALSE"
"Turin 2022","Turin","2022","Italy","https://eurovision.tv/event/turin-2022","second-semi-final","Circus Mircus","Lock Me In","https://eurovision.tv/participant/circus-mircus-22","Georgia","5","22","18","FALSE","FALSE"
"Turin 2022","Turin","2022","Italy","https://eurovision.tv/event/turin-2022","grand-final","Malik Harris","Rockstars","https://eurovision.tv/participant/malik-harris-22","Germany","13","6","25","FALSE","FALSE"
"Turin 2022","Turin","2022","Italy","https://eurovision.tv/event/turin-2022","first-semi-final","Amanda Georgiadi Tenfjord","Die Together","https://eurovision.tv/participant/amanda-georgiadi-tenfjord-22","Greece","15","211","3","TRUE","FALSE"
"Turin 2022","Turin","2022","Italy","https://eurovision.tv/event/turin-2022","grand-final","Amanda Georgiadi Tenfjord","Die Together","https://eurovision.tv/participant/amanda-georgiadi-tenfjord-22","Greece","17","215","8","FALSE","FALSE"
"Turin 2022","Turin","2022","Italy","https://eurovision.tv/event/turin-2022","grand-final","Systur","MeÃ° HÃ¦kkandi SoÌl","https://eurovision.tv/participant/systur-22","Iceland","18","20","23","FALSE","FALSE"
"Turin 2022","Turin","2022","Italy","https://eurovision.tv/event/turin-2022","first-semi-final","Systur","MeÃ° HÃ¦kkandi SoÌl","https://eurovision.tv/participant/systur-22","Iceland","14","103","10","TRUE","FALSE"
"Turin 2022","Turin","2022","Italy","https://eurovision.tv/event/turin-2022","second-semi-final","Brooke","That's Rich","https://eurovision.tv/participant/brooke-22","Ireland","10","47","15","FALSE","FALSE"
"Turin 2022","Turin","2022","Italy","https://eurovision.tv/event/turin-2022","second-semi-final","Michael Ben David","I.M","https://eurovision.tv/participant/michael-ben-david-22","Israel","2","61","13","FALSE","FALSE"
"Turin 2022","Turin","2022","Italy","https://eurovision.tv/event/turin-2022","grand-final","Mahmood & BLANCO","Brividi","https://eurovision.tv/participant/mahmood-and-blanco-22","Italy","9","268","6","FALSE","FALSE"
"Turin 2022","Turin","2022","Italy","https://eurovision.tv/event/turin-2022","first-semi-final","Citi ZÄ“ni","Eat Your Salad","https://eurovision.tv/participant/citi-zeni-22","Latvia","2","55","14","FALSE","FALSE"
"Turin 2022","Turin","2022","Italy","https://eurovision.tv/event/turin-2022","grand-final","Monika Liu","Sentimentai","https://eurovision.tv/participant/monika-liu-22","Lithuania","14","128","14","FALSE","FALSE"
"Turin 2022","Turin","2022","Italy","https://eurovision.tv/event/turin-2022","first-semi-final","Monika Liu","Sentimentai","https://eurovision.tv/participant/monika-liu-22","Lithuania","3","159","7","TRUE","FALSE"
"Turin 2022","Turin","2022","Italy","https://eurovision.tv/event/turin-2022","second-semi-final","Emma Muscat","I Am What I Am","https://eurovision.tv/participant/emma-muscat-22","Malta","6","47","16","FALSE","FALSE"
"Turin 2022","Turin","2022","Italy","https://eurovision.tv/event/turin-2022","first-semi-final","Zdob ÅŸi Zdub & Advahov Brothers","TrenuleÈ›ul","https://eurovision.tv/participant/zdob-si-zdub-and-fratii-advahov-22","Moldova","9","154","8","TRUE","FALSE"
"Turin 2022","Turin","2022","Italy","https://eurovision.tv/event/turin-2022","grand-final","Zdob ÅŸi Zdub & Advahov Brothers","TrenuleÈ›ul","https://eurovision.tv/participant/zdob-si-zdub-and-fratii-advahov-22","Moldova","19","253","7","FALSE","FALSE"
"Turin 2022","Turin","2022","Italy","https://eurovision.tv/event/turin-2022","second-semi-final","Vladana","Breathe","https://eurovision.tv/participant/vladana-22","Montenegro","15","33","17","FALSE","FALSE"
"Turin 2022","Turin","2022","Italy","https://eurovision.tv/event/turin-2022","grand-final","S10","De Diepte","https://eurovision.tv/participant/s10-22","Netherlands","11","171","11","FALSE","FALSE"
"Turin 2022","Turin","2022","Italy","https://eurovision.tv/event/turin-2022","first-semi-final","S10","De Diepte","https://eurovision.tv/participant/s10-22","Netherlands","8","221","2","TRUE","FALSE"
"Turin 2022","Turin","2022","Italy","https://eurovision.tv/event/turin-2022","second-semi-final","Andrea","Circles","https://eurovision.tv/participant/andrea-22","North Macedonia","11","76","11","FALSE","FALSE"
"Turin 2022","Turin","2022","Italy","https://eurovision.tv/event/turin-2022","first-semi-final","Subwoolfer","Give That Wolf A Banana","https://eurovision.tv/participant/subwoolfer-22","Norway","16","177","6","TRUE","FALSE"
"Turin 2022","Turin","2022","Italy","https://eurovision.tv/event/turin-2022","grand-final","Subwoolfer","Give That Wolf A Banana","https://eurovision.tv/participant/subwoolfer-22","Norway","7","182","10","FALSE","FALSE"
"Turin 2022","Turin","2022","Italy","https://eurovision.tv/event/turin-2022","grand-final","Ochman","River","https://eurovision.tv/participant/ochman-22","Poland","23","151","12","FALSE","FALSE"
